No,M,AoA,Cl,Cd,Cp
354,0.728731,2.157475,0.68806,0.011983,-0.730477
355,0.723768,2.364579,0.71763,0.012078,-0.609631
356,0.731627,2.230814,0.705579,0.012949,-1.089474
357,0.720487,2.335214,0.705964,0.011546,-0.666359
358,0.724524,2.121773,0.673848,0.01126,-0.646512
359,0.722062,2.051396,0.655916,0.010857,-0.705635
360,0.726747,2.256822,0.702864,0.012091,-0.647264
361,0.739586,2.349534,0.73257,0.016281,-1.218369
362,0.726609,2.282933,0.707414,0.012186,-0.65067
363,0.727447,2.316755,0.715443,0.0125,-0.750249
364,0.725463,2.279582,0.704811,0.01198,-0.613605
365,0.73187,2.328088,0.723448,0.013611,-1.155885
366,0.724687,2.366517,0.719569,0.012236,-0.609379
367,0.732827,2.384901,0.734413,0.014281,-1.194515
368,0.736628,2.70256,0.787426,0.018373,-1.274127
369,0.722236,2.323545,0.707237,0.011703,-0.639173
370,0.732726,2.065004,0.677326,0.012284,-1.049077
371,0.736304,2.179945,0.701819,0.013883,-1.178748
372,0.723386,2.648068,0.769338,0.01349,-0.629202
373,0.731441,2.028677,0.668465,0.011861,-0.891663
374,0.727488,2.141571,0.682993,0.01171,-0.638769
375,0.72361,2.494436,0.741464,0.012664,-0.602723
376,0.728747,1.936101,0.646692,0.011102,-0.633545
377,0.728162,2.427619,0.73666,0.013267,-0.911572
378,0.731408,2.220857,0.703737,0.01284,-1.066989
379,0.742359,2.523537,0.759503,0.018946,-1.245626
380,0.729104,2.272164,0.709865,0.012614,-0.882543
381,0.729673,2.604227,0.768578,0.014924,-1.180897
382,0.732025,2.587936,0.767982,0.015575,-1.235787
383,0.729971,2.453034,0.74279,0.013887,-1.08569
384,0.72755,2.344134,0.72042,0.012656,-0.784198
385,0.7295,2.553769,0.759462,0.014451,-1.120466
386,0.726933,2.488381,0.745614,0.013342,-0.831993
387,0.726977,1.985413,0.652782,0.01107,-0.636358
388,0.733169,2.242167,0.709313,0.013406,-1.15827
389,0.729865,2.240203,0.704954,0.012597,-0.924952
390,0.727357,2.362781,0.723585,0.012718,-0.77852
391,0.727756,2.432205,0.736998,0.013201,-0.886041
392,0.739774,2.19417,0.705839,0.015044,-1.191528
393,0.732177,1.983815,0.661203,0.011787,-0.923083
394,0.729058,2.411389,0.734602,0.013397,-0.982469
395,0.712442,2.207633,0.666741,0.010775,-0.737017
